code,name,level,parent_code,path,revision,source_url,is_active
4000,主として管理事務を行う本社等,detail,400,G/40/400/4000,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4000,1
4009,その他の管理、補助的経済活動を行う事業所,detail,400,G/40/400/4009,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4009,1
401,インターネット附随サービス業,small,40,G/40/401,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/401,1
4011,ポータルサイト・サーバ運営業,detail,401,G/40/401/4011,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4011,1
4012,アプリケーション・サービス・コンテンツ・プロバイダ,detail,401,G/40/401/4012,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4012,1
4013,インターネット利用サポート業,detail,401,G/40/401/4013,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4013,1
41,映像・音声・文字情報制作業,middle,G,G/41,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/41,1
410,管理、補助的経済活動を行う事業所（41映像・音声・文字情報制作業）,small,41,G/41/410,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/410,1
4100,主として管理事務を行う本社等,detail,410,G/41/410/4100,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4100,1
4109,その他の管理、補助的経済活動を行う事業所,detail,410,G/41/410/4109,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4109,1
411,映像情報制作・配給業,small,41,G/41/411,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/411,1
4111,映画・ビデオ制作業（テレビジョン番組制作業、アニメーション制作業を除く）,detail,411,G/41/411/4111,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4111,1
4112,テレビジョン番組制作業（アニメーション制作業を除く）,detail,411,G/41/411/4112,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4112,1
4113,アニメーション制作業,detail,411,G/41/411/4113,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4113,1
4114,映画・ビデオ・テレビジョン番組配給業,detail,411,G/41/411/4114,令和5年（2023年）7月改定,https://www.e-stat.go.jp/classifications/terms/10/04/4114,1
